standardized_id_num,count
0995048000020,3021
0170602002001,3020
1252744000020,3019
0812398002002,3015
1258424000006,3013
0170602008001,3012
1495940000001,3011
0997646000005,3011
1255056000003,3011
1258424000018,3008
0170602006001,3007
1634004000002,3007
0318088000001,3006
0933186000002,3005
1457052000016,3004
1633142000001,3004
0931792000001,3002
1156690000002,3002
0910044000003,3002
1471676000001,3000
0816908000002,3000
0491206000010,2999
0997646000012,2996
1633628000004,2996
0813400003065,2996
0170602001001,2995
1258424000016,2995
1258424000014,2993
1457052000014,2993
1252744000009,2991
1653660000001,2991
0276090000002,2990
1610300003026,2990
0215778000004,2989
1258814000002,2987
0935164000002,2987
0273948000002,2986
1251764000009,2985
0816466000006,2984
1592106000001,2982
0997646000013,2980
0156098000001,2979
0995048000010,2979
1255056000008,2976
0654708000001,2976
0997646000015,2975
1255398000003,2974
1215632004009,2973
1153082000005,2972
1212508000001,2972
1255992000004,2971
0997282000011,2969
0816466000008,2968
0412636000001,2967
1631312000025,2966
1252744000025,2964
1633558000001,2962
1258424000008,2962
1391880000001,2961
1593184000001,2961
0310742000001,2956
1252744000016,2955
0652142000003,2955
0495616000001,2955
1251004000004,2953
1258814000004,2953
1432164000001,2952
1457054000015,2951
0813400002033,2950
1632836000002,2949
1256544004010,2945
1258814000001,2943
0997282000024,2942
0750876000004,2939
1616456000008,2939
0933186000004,2938
1396246000006,2938
1252744000021,2938
0054660000001,2938
1258424000009,2935
0776140000002,2933
1433196000001,2931
0213586000001,2930
1255982000007,2928
0654600001002,2928
0811224000005,2927
0991652000008,2926
1636762500013,2923
0931064000003,2923
0998400003044,2922
0998400002002,2921
0214426000001,2920
1393864001001,2918
0997282000027,2917
0170602007001,2917
0056474000001,2912
0553158000001,2912
0215776002002,2912
0215776003003,2910
1457052000012,2910
0252593500004,2910
0998400003013,2908
0754698000004,2907
1651232000002,2907
1213098000002,2907
0811224000007,2906
0814282002016,2904
1631312000027,2904
1393334000003,2903
0997076000005,2903
1252744000024,2902
0474802000001,2902
0810116000005,2901
1215914000002,2901
1610300005052,2901
0997282000022,2900
0153912000001,2899
1457054000013,2898
0811850000002,2897
1492692000001,2897
1258424000019,2897
1256544001001,2896
0491206000003,2894
1253808000008,2893
0496818000003,2892
1635900000011,2891
1155504000005,2888
1256204000005,2888
0556334000001,2887
1035688000001,2887
0938124000001,2887
0814282001002,2886
0217098000001,2886
1638838000002,2886
0334348000001,2884
0556334000002,2884
1153082000007,2883
1256902000002,2883
1254040000011,2882
1477070000002,2882
1632100000018,2881
0750876000003,2877
1397584000003,2876
0496818000002,2875
0931692000001,2873
1616456000009,2872
0757720000008,2872
1617756000002,2871
1551188000001,2871
1213102000003,2871
0370590000004,2871
0250672000002,2870
0210740000001,2867
0156626000001,2865
0933610000006,2865
0776556000006,2864
1251764000011,2861
0814282001017,2860
0997646000008,2859
0994690000002,2858
0553158000005,2858
0492900003009,2857
0916934000001,2856
1257004000006,2856
0255194000002,2855
0534106000002,2855
1370478000002,2855
1634068005001,2855
1256544003007,2854
0998400005007,2853
0150556000001,2853
0938116000004,2852
0996980000001,2852
0997076000004,2852
0816466000009,2851
0998400004053,2851
1497976000001,2849
0256344000001,2848
1457054000007,2847
1590314000002,2847
1638600000015,2846
0814956000002,2846
1254040000010,2846
1256544001003,2844
0998400005037,2844
1370478000001,2843
1637496000009,2842
0997646000038,2841
0777930000005,2840
1633142000003,2839
0995048000022,2838
0070174000001,2837
1155502000002,2836
0995048000007,2834
0813400001001,2833
1215632003006,2833
1451354000002,2833
1255056000002,2833
1152340000003,2831
0997282000016,2831
0378440000002,2830
0170512000005,2830
0776140000009,2829
1637496000011,2829
0933634000003,2828
1476862000001,2828
0492778000001,2828
