Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num,,Michigan County Code,City/Township Code,Ward Number,Precinct Number,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num
24,54,4,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,PETOSKEY CITY,0476382004001,,,,,,,,,,,
25,24,0,16,,6,500,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,GRAND BLANC TOWNSHIP,0493330000016,,,,,,,,,,,
25,24,0,17,,6,500,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,GRAND BLANC TOWNSHIP,0493330000017,,,,,,,,,,,
25,28,0,5,,6,500,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,MOUNT MORRIS TOWNSHIP,0495598000005,,,,,,,,,,,
25,28,0,7,,6,500,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,MOUNT MORRIS TOWNSHIP,0495598000007,,,,,,,,,,,
26,54,0,1,,6,400,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GLADWIN,GLADWIN CITY,0513232000001,,,,,,,,,,,
26,54,0,2,,6,400,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GLADWIN,GLADWIN CITY,0513232000002,,,,,,,,,,,
34,54,2,1,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,IONIA,IONIA CITY,0674086002001,,,,,,,,,,,
34,54,3,1,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,IONIA,IONIA CITY,0674086003001,,,,,,,,,,,
34,54,4,1,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,IONIA,IONIA CITY,0674086004001,,,,,,,,,,,
34,28,0,2,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,IONIA,PORTLAND TOWNSHIP,0676588000002,,,,,,,,,,,
39,14,0,6,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KALAMAZOO,KALAMAZOO TOWNSHIP,0774218000006,,,,,,,,,,,
39,58,0,20,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KALAMAZOO,PORTAGE CITY,0776556000020,,,,,,,,,,,
41,12,0,6,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KENT,CALEDONIA TOWNSHIP,0811250000006,,,,,,,,,,,
41,16,0,9,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KENT,CASCADE TOWNSHIP,0811366000009,,,,,,,,,,,
41,16,0,10,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KENT,CASCADE TOWNSHIP,0811366000010,,,,,,,,,,,
41,60,2,17,,6,200,2ND DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KENT,KENTWOOD CITY,0814282002017,,,,,,,,,,,
41,60,2,18,,6,200,2ND DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KENT,KENTWOOD CITY,0814282002018,,,,,,,,,,,
41,38,0,2,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,KENT,SPENCER TOWNSHIP,0817556000002,,,,,,,,,,,
46,30,0,3,,6,700,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,LENAWEE,RAISIN TOWNSHIP,0916684000003,,,,,,,,,,,
50,6,0,15,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,CHESTERFIELD TOWNSHIP,0991534000015,,,,,,,,,,,
50,6,0,16,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,CHESTERFIELD TOWNSHIP,0991534000016,,,,,,,,,,,
50,6,0,17,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,CHESTERFIELD TOWNSHIP,0991534000017,,,,,,,,,,,
50,6,0,18,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,CHESTERFIELD TOWNSHIP,0991534000018,,,,,,,,,,,
50,6,0,19,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,CHESTERFIELD TOWNSHIP,0991534000019,,,,,,,,,,,
50,54,0,13,,6,900,9TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,EASTPOINTE CITY,0992429000013,,,,,,,,,,,
50,54,0,14,,6,900,9TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,EASTPOINTE CITY,0992429000014,,,,,,,,,,,
50,16,0,36,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,MACOMB TOWNSHIP,0995048000036,,,,,,,,,,,
50,16,0,37,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,MACOMB TOWNSHIP,0995048000037,,,,,,,,,,,
50,22,0,30,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,SHELBY TOWNSHIP,0997282000030,,,,,,,,,,,
50,24,0,11,,6,1000,10TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MACOMB,WASHINGTON TOWNSHIP,0998412000011,,,,,,,,,,,
58,16,0,1,,6,700,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,MONROE,IDA TOWNSHIP,1.15403E+12,,,,,,,,,,,
62,14,0,2,,6,200,2ND DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,NEWAYGO,CROTON TOWNSHIP,1.2319E+12,,,,,,,,,,,
63,62,0,6,,6,900,9TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,HAZEL PARK CITY,1.25374E+12,,,,,,,,,,,
63,22,0,7,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,LYON TOWNSHIP,1.25498E+12,,,,,,,,,,,
63,22,0,8,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,LYON TOWNSHIP,1.25498E+12,,,,,,,,,,,
63,22,0,9,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,LYON TOWNSHIP,1.25498E+12,,,,,,,,,,,
63,74,0,23,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,NOVI CITY,1.25594E+12,,,,,,,,,,,
63,74,0,24,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,NOVI CITY,1.25594E+12,,,,,,,,,,,
63,74,0,25,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,NOVI CITY,1.25594E+12,,,,,,,,,,,
63,84,0,6,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER CITY,1.2569E+12,,,,,,,,,,,
63,85,2,4,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,7,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,9,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,10,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,18,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,19,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,21,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,2,25,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
